run,S_D,scour_m,su0,k_su,Hmax_kN,H_ratio,V_ratio,f1_Hz,f1_f0,fixity_proxy
44,0.0,0.0,11.260935436149174,18.669323071907712,23586.81640625,1.0,1.0,0.2622619060770449,0.9991161003634479,0.27689842555510163
45,0.0,0.0,19.1656283020175,25.60676102225761,30799.310546875,1.0,1.0,0.26367795140299893,1.004510683607228,0.2674036506558559
46,0.0,0.0,13.119146730267683,25.184977227577093,30269.107421875,1.0,1.0,0.26358293529976234,1.0041487091216557,0.26811811747309416
47,0.0,0.0,14.601371039424684,17.92707066728106,23171.404296875,1.0,1.0,0.2621701598043298,0.998766582663416,0.2774244968453353
48,0.0,0.0,9.55408944917068,11.61422254636147,15445.873046875,1.0,1.0,0.25921729071480804,0.9875172971925019,0.2959944813181457
49,0.0,0.0,12.526253284604731,16.92406887511524,21119.666015625,1.0,1.0,0.26158137177754104,0.9965235287404683,0.28126455441794324
50,0.0,0.0,13.88729648430417,15.89227312509399,20474.650390625,1.0,1.0,0.2613845552339481,0.9957737340773279,0.2824790799898444
51,0.0,0.0,13.769754199515466,15.763418311056672,20316.771484375,1.0,1.0,0.26133214484370065,0.99557407082655,0.2828140794536903
52,0.0,0.0,14.468072707874075,19.97154689735315,24929.583984375,1.0,1.0,0.26259118244418517,1.0003705155577856,0.2746906446561203
53,0.0,0.0,14.101371945901793,20.669139431661403,26129.7265625,1.0,1.0,0.2628483732498937,1.0013503127334125,0.2730005662237559
54,0.0,0.0,11.100704182747403,15.529599347530134,19868.52734375,1.0,1.0,0.2611672152175583,0.9949457529462654,0.2839239240630666
55,0.0,0.0,14.924778479434009,17.20279949819395,21890.427734375,1.0,1.0,0.26182170799260773,0.9974391164655991,0.27967045980624183
56,0.0,0.0,16.250032612522705,18.45878258987136,24119.236328125,1.0,1.0,0.2624117225231629,0.9996868428919939,0.2758226234882928
57,0.0,0.0,20.075860215489616,21.128409757507587,26517.732421875,1.0,1.0,0.2629434743264917,1.001712610934521,0.2722878877653574
58,0.0,0.0,14.29361221071101,15.061050922557186,19087.333984375,1.0,1.0,0.26090150460448097,0.9939334986103839,0.28552248969499633
59,0.0,0.0,8.317757413110698,14.182106130784264,17801.888671875,1.0,1.0,0.26035477455569167,0.9918506692644499,0.2891000742012853
60,0.0,0.0,13.96767111621844,21.011404842349712,26277.939453125,1.0,1.0,0.26287776884562364,1.001462298547185,0.27281078117339513
61,0.0,0.0,11.44726855380636,18.88999042543026,24111.443359375,1.0,1.0,0.2623916119092924,0.9996102292563852,0.27604634352389557
62,0.0,0.0,8.88325078082778,21.771107130381708,24353.482421875,1.0,1.0,0.2624344600135458,0.9997734639078449,0.2758417997377683
63,0.0,0.0,16.745440853454358,30.70108577182448,36088.3828125,1.0,1.0,0.2643527806466718,1.0070815211811437,0.2628261944692386
64,0.0,0.0,13.716291630370552,19.991099719101083,24759.431640625,1.0,1.0,0.2625498379554208,1.0002130090979124,0.27497629544489877
65,0.0,0.0,13.15697536906962,14.910065089072,19698.0,1.0,1.0,0.2611197673590854,0.9947649950160071,0.28416348328946556
66,0.0,0.0,14.693495626805426,23.336326706434303,28233.29296875,1.0,1.0,0.26324957768496293,1.0028787459573256,0.2703352053126655
67,0.0,0.0,12.59184945758232,18.24271420928737,23329.119140625,1.0,1.0,0.26220253831085455,0.9988899322099,0.2772553022444616
68,0.0,0.0,13.063684201650112,16.64267093735822,20707.96875,1.0,1.0,0.26145427861878534,0.9960393531197758,0.28206413381883344
69,0.0,0.0,12.444140830323926,23.27352973474694,26780.1796875,1.0,1.0,0.2629701231885536,1.0018141327587946,0.27223976996690696
